weight,z2,z3,z4,z5,z6,z7,z8
1,7.15,7.15,7.15,7.15,7.15,7.22,7.33
2,7.15,7.15,7.54,7.70,8.04,8.28,8.51
3,7.15,7.28,7.95,8.20,8.53,8.82,9.34
4,7.15,7.52,8.42,8.80,9.05,9.48,10.08
5,7.15,7.60,8.65,9.05,9.35,9.83,10.59
6,7.15,7.75,8.70,9.16,9.50,10.01,10.60
7,7.41,7.94,8.84,9.45,9.67,10.28,11.01
8,7.61,8.14,9.08,9.63,9.97,10.59,11.38
9,7.76,8.34,9.20,9.70,10.18,11.03,12.09
10,7.94,8.37,9.25,9.98,10.49,11.67,12.90
11,7.93,8.25,8.95,9.62,10.39,12.12,13.17
12,8.06,8.52,9.02,9.76,10.66,12.60,13.91
13,8.25,8.80,9.23,10.03,11.10,13.51,14.81
14,8.46,8.96,9.24,10.18,11.73,14.35,15.67
15,8.52,9.15,9.45,10.65,12.27,14.78,16.46
16,8.61,9.32,9.53,10.72,12.67,15.41,16.96
17,8.76,9.61,9.74,11.13,13.32,16.35,17.77
18,8.78,9.74,9.93,11.56,13.86,16.69,18.63
19,8.86,9.95,10.09,11.90,14.20,17.22,19.34
20,8.98,10.13,10.33,12.49,14.68,17.86,20.24
21,8.97,10.21,10.47,12.25,14.83,17.99,20.42
22,9.17,10.40,10.96,12.82,15.58,18.65,21.32
23,9.27,10.68,11.30,13.32,16.17,19.27,22.17
24,9.45,10.93,11.56,13.62,16.79,19.74,23.04
25,9.55,11.15,11.70,14.01,17.20,20.56,23.90
26,9.92,11.43,12.19,14.44,17.83,21.44,24.70
27,10.16,11.71,12.32,14.68,18.41,21.83,25.30
28,10.34,12.09,13.01,15.49,19.45,22.98,26.43
29,10.56,12.33,13.38,15.84,20.01,23.55,26.97
30,10.67,12.51,13.78,16.31,20.33,23.84,28.09
31,10.29,12.06,13.14,15.61,19.72,23.14,27.32
32,10.36,12.09,13.36,15.89,20.10,23.55,28.15
33,10.46,12.48,13.96,16.63,20.83,24.16,28.64
34,10.52,12.64,14.27,16.90,21.22,24.81,29.72
35,10.72,13.18,14.60,17.30,21.74,25.44,30.51
36,10.87,13.19,14.87,17.90,22.28,26.31,31.11
37,11.15,13.49,15.16,18.29,22.75,26.89,31.71
38,11.31,13.69,15.49,18.73,23.27,27.52,32.30
39,11.47,13.96,15.85,18.94,23.86,28.27,32.97
40,11.48,14.15,15.89,19.16,24.35,28.34,33.19
41,11.63,14.48,16.32,19.63,24.89,29.21,33.90
